City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,76.23,light rain,-23.1203,-134.9692,Pension Maro'i
3,Arraial Do Cabo,BR,75.07,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
11,Butaritari,KI,83.19,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
15,Nabire,ID,88.12,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
23,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
27,Hilo,US,79.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
28,The Valley,AI,80.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
34,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
35,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
38,Bengkulu,ID,84.0,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
43,El Jicaro,GT,77.18,overcast clouds,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
46,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Kavieng,PG,84.36,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
57,Khonsa,IN,77.22,few clouds,27.0167,95.5667,
58,Saint-Philippe,RE,76.55,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
59,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
64,Contamana,PE,78.08,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
67,Faanui,PF,80.53,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
69,Alofi,NU,80.49,light rain,-19.0595,-169.9187,Taloa Heights
70,Mamlyutka,KZ,75.22,broken clouds,54.9375,68.5394,
71,Tres Palos,MX,75.15,broken clouds,18.1833,-101.6167,
75,Bontang,ID,88.02,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
80,Rio Brilhante,BR,75.88,overcast clouds,-21.8019,-54.5464,Hotel Cattani
82,Abu Dhabi,AE,87.91,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
83,Marabba,SD,89.62,clear sky,12.35,32.1833,
86,Grand Baie,MU,78.46,few clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
98,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
105,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
111,Tateyama,JP,77.14,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
113,Xacmaz,AZ,77.85,broken clouds,41.4635,48.806000000000004,SAHİL HOTEL
114,Havelock,US,75.94,light rain,34.8791,-76.9013,Sherwood Motel
115,Sabha,LY,86.11,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
117,Changping,CN,81.52,clear sky,40.2186,116.2197,Huachang Hotel
120,Epe,NG,78.37,broken clouds,6.5841,3.9834,MAGVILLE HOTEL
126,Gamba,GA,75.36,overcast clouds,-2.65,10.0,
128,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
129,Wattegama,LK,88.72,overcast clouds,6.7989,81.4808,
132,Ndjole,GA,75.09,light rain,-0.1783,10.7649,Hotel Kevazingo
133,Itarema,BR,75.54,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
140,Hithadhoo,MV,83.55,broken clouds,-0.6,73.0833,Scoop Guest House
147,Aloleng,PH,87.17,light rain,16.1307,119.7824,Agno Umbrella Rocks
149,Grand Gaube,MU,78.39,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
152,Kavaratti,IN,83.53,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
154,Zhangjiakou,CN,77.27,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
155,Hami,CN,85.55,overcast clouds,42.8,93.45,Laoyutang Resort
156,San Patricio,US,78.82,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
159,Saint George,US,81.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
165,Gornopravdinsk,RU,75.11,broken clouds,60.05,69.9,Burovik
167,Meulaboh,ID,76.08,overcast clouds,4.1363,96.1285,Kost Pria
180,Fare,PF,80.6,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
186,Atuona,PF,79.32,scattered clouds,-9.8,-139.0333,Villa Enata
188,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
192,Novoorsk,RU,81.25,clear sky,51.381,58.9813,Gostevoi dom >
194,Manaure,CO,79.27,overcast clouds,11.7751,-72.4445,Hotel Palaaima
195,Buraydah,SA,86.45,clear sky,26.326,43.975,فندق راحة السلام
197,Eyl,SO,82.87,broken clouds,7.9803,49.8164,Amiin Hotel
199,Mackay,AU,75.69,overcast clouds,-21.15,149.2,International Lodge Motel
200,Sungaipenuh,ID,81.12,broken clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
208,Iquitos,PE,77.04,clear sky,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
211,La Asuncion,VE,80.33,broken clouds,11.0333,-63.8628,Colinas de Matasiete
213,Bubaque,GW,77.4,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
215,Coahuayana,MX,75.51,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
217,Aitape,PG,83.77,moderate rain,-3.1374,142.3475,
221,Tura,IN,84.42,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
226,Kalmunai,LK,87.91,overcast clouds,7.4167,81.8167,VS Villa
230,Mahibadhoo,MV,83.7,broken clouds,3.7833,72.9667,Omadhoo Inn
244,Sambava,MG,76.28,clear sky,-14.2667,50.1667,Melrose
247,Bambanglipuro,ID,84.54,broken clouds,-7.95,110.2833,Puri Brata
249,Pahrump,US,82.04,broken clouds,36.2083,-115.9839,Best Western Pahrump Oasis
250,Port Moresby,PG,87.22,few clouds,-9.4431,147.1797,Lamana Hotel
254,Venice,US,80.01,few clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
255,Cabo San Lucas,MX,86.81,broken clouds,22.8909,-109.9124,Tesoro Los Cabos
256,Maumere,ID,81.75,broken clouds,-8.6199,122.2111,Sylvia Hotel
